batch_folder,batch_file,seed_label,model_seed,candidate_id,expected_job_name,downloaded_job_directory,model_cif_count,summary_confidences_count,full_data_count,job_request_count,completeness_status,availability_interpretation,claim_boundary
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_119817,ebvms_bg_HUMAN_BACKGROUND_119817_s03,,0,0,0,0,not_downloaded_or_failed_no_retry,No model result; exclude from structural summaries without retrying.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_119866,ebvms_bg_HUMAN_BACKGROUND_119866_s03,,0,0,0,0,not_downloaded_or_failed_no_retry,No model result; exclude from structural summaries without retrying.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_119901,ebvms_bg_HUMAN_BACKGROUND_119901_s03,ebvms_bg_human_background_119901_s03,5,5,5,1,complete_five_sample_result,Eligible for later descriptive structural extraction.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_119902,ebvms_bg_HUMAN_BACKGROUND_119902_s03,,0,0,0,0,not_downloaded_or_failed_no_retry,No model result; exclude from structural summaries without retrying.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_119909,ebvms_bg_HUMAN_BACKGROUND_119909_s03,,0,0,0,0,not_downloaded_or_failed_no_retry,No model result; exclude from structural summaries without retrying.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_119921,ebvms_bg_HUMAN_BACKGROUND_119921_s03,ebvms_bg_human_background_119921_s03,5,5,5,1,complete_five_sample_result,Eligible for later descriptive structural extraction.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_119944,ebvms_bg_HUMAN_BACKGROUND_119944_s03,ebvms_bg_human_background_119944_s03,5,5,5,1,complete_five_sample_result,Eligible for later descriptive structural extraction.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_119963,ebvms_bg_HUMAN_BACKGROUND_119963_s03,,0,0,0,0,not_downloaded_or_failed_no_retry,No model result; exclude from structural summaries without retrying.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_120012,ebvms_bg_HUMAN_BACKGROUND_120012_s03,,0,0,0,0,not_downloaded_or_failed_no_retry,No model result; exclude from structural summaries without retrying.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_120016,ebvms_bg_HUMAN_BACKGROUND_120016_s03,,0,0,0,0,not_downloaded_or_failed_no_retry,No model result; exclude from structural summaries without retrying.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_120023,ebvms_bg_HUMAN_BACKGROUND_120023_s03,,0,0,0,0,not_downloaded_or_failed_no_retry,No model result; exclude from structural summaries without retrying.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_120080,ebvms_bg_HUMAN_BACKGROUND_120080_s03,,0,0,0,0,not_downloaded_or_failed_no_retry,No model result; exclude from structural summaries without retrying.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_120087,ebvms_bg_HUMAN_BACKGROUND_120087_s03,ebvms_bg_human_background_120087_s03,5,5,5,1,complete_five_sample_result,Eligible for later descriptive structural extraction.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_120112,ebvms_bg_HUMAN_BACKGROUND_120112_s03,ebvms_bg_human_background_120112_s03,5,5,5,1,complete_five_sample_result,Eligible for later descriptive structural extraction.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_120139,ebvms_bg_HUMAN_BACKGROUND_120139_s03,,0,0,0,0,not_downloaded_or_failed_no_retry,No model result; exclude from structural summaries without retrying.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_65787,ebvms_bg_HUMAN_BACKGROUND_65787_s03,,0,0,0,0,not_downloaded_or_failed_no_retry,No model result; exclude from structural summaries without retrying.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_79901,ebvms_bg_HUMAN_BACKGROUND_79901_s03,,0,0,0,0,not_downloaded_or_failed_no_retry,No model result; exclude from structural summaries without retrying.,"Availability is a technical run-status field, not biological evidence."
