lead_rank,pair_id,analysis_layer,entity_role,candidate_id,job_id,model_id,cluster_id,cluster_size,distinct_jobs_in_cluster,model_plddt,model_iptm,clustering_method_note,claim_boundary
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,target,HUMAN_MYELIN_112214,HUMAN_MYELIN_112214|seed-1405882626|sig-10d20e819a2051c3,HUMAN_MYELIN_112214|seed-1405882626|sig-10d20e819a2051c3|model-0,1,23,7,44.89836944634313,0.91,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,target,HUMAN_MYELIN_112214,HUMAN_MYELIN_112214|seed-1405882626|sig-10d20e819a2051c3,HUMAN_MYELIN_112214|seed-1405882626|sig-10d20e819a2051c3|model-1,1,23,7,42.97515544543177,0.9,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,target,HUMAN_MYELIN_112214,HUMAN_MYELIN_112214|seed-1405882626|sig-10d20e819a2051c3,HUMAN_MYELIN_112214|seed-1405882626|sig-10d20e819a2051c3|model-2,1,23,7,43.465649103820155,0.9,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,target,HUMAN_MYELIN_112214,HUMAN_MYELIN_112214|seed-1405882626|sig-10d20e819a2051c3,HUMAN_MYELIN_112214|seed-1405882626|sig-10d20e819a2051c3|model-3,1,23,7,44.67617298929141,0.9,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,target,HUMAN_MYELIN_112214,HUMAN_MYELIN_112214|seed-1405882626|sig-10d20e819a2051c3,HUMAN_MYELIN_112214|seed-1405882626|sig-10d20e819a2051c3|model-4,1,23,7,43.454312675628465,0.9,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,target,HUMAN_MYELIN_112214,HUMAN_MYELIN_112214|seed-1|sig-519f712649e679a5,HUMAN_MYELIN_112214|seed-1|sig-519f712649e679a5|model-0,1,23,7,56.66359607351713,0.92,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,target,HUMAN_MYELIN_112214,HUMAN_MYELIN_112214|seed-1|sig-519f712649e679a5,HUMAN_MYELIN_112214|seed-1|sig-519f712649e679a5|model-1,1,23,7,58.97046008961797,0.92,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,target,HUMAN_MYELIN_112214,HUMAN_MYELIN_112214|seed-1|sig-519f712649e679a5,HUMAN_MYELIN_112214|seed-1|sig-519f712649e679a5|model-2,1,23,7,55.840633059922524,0.91,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,target,HUMAN_MYELIN_112214,HUMAN_MYELIN_112214|seed-1|sig-519f712649e679a5,HUMAN_MYELIN_112214|seed-1|sig-519f712649e679a5|model-3,1,23,7,54.156539986329456,0.91,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,target,HUMAN_MYELIN_112214,HUMAN_MYELIN_112214|seed-1|sig-519f712649e679a5,HUMAN_MYELIN_112214|seed-1|sig-519f712649e679a5|model-4,1,23,7,55.37470638718007,0.91,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,control,HUMAN_BACKGROUND_115891,HUMAN_BACKGROUND_115891|seed-1224417544|sig-17e36fee3e460d12,HUMAN_BACKGROUND_115891|seed-1224417544|sig-17e36fee3e460d12|model-0,3,3,1,47.319405643738975,0.92,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,control,HUMAN_BACKGROUND_115891,HUMAN_BACKGROUND_115891|seed-1224417544|sig-17e36fee3e460d12,HUMAN_BACKGROUND_115891|seed-1224417544|sig-17e36fee3e460d12|model-1,1,23,7,52.945240961199296,0.91,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,control,HUMAN_BACKGROUND_115891,HUMAN_BACKGROUND_115891|seed-1224417544|sig-17e36fee3e460d12,HUMAN_BACKGROUND_115891|seed-1224417544|sig-17e36fee3e460d12|model-2,1,23,7,53.15848368606702,0.91,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,control,HUMAN_BACKGROUND_115891,HUMAN_BACKGROUND_115891|seed-1224417544|sig-17e36fee3e460d12,HUMAN_BACKGROUND_115891|seed-1224417544|sig-17e36fee3e460d12|model-3,3,3,1,46.8103520723104,0.91,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,control,HUMAN_BACKGROUND_115891,HUMAN_BACKGROUND_115891|seed-1224417544|sig-17e36fee3e460d12,HUMAN_BACKGROUND_115891|seed-1224417544|sig-17e36fee3e460d12|model-4,3,3,1,47.67985758377426,0.91,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,control,HUMAN_BACKGROUND_118550,HUMAN_BACKGROUND_118550|seed-125659505|sig-82dd781b0a455ed1,HUMAN_BACKGROUND_118550|seed-125659505|sig-82dd781b0a455ed1|model-0,4,1,1,30.149448192239863,0.9,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,control,HUMAN_BACKGROUND_118550,HUMAN_BACKGROUND_118550|seed-125659505|sig-82dd781b0a455ed1,HUMAN_BACKGROUND_118550|seed-125659505|sig-82dd781b0a455ed1|model-1,5,1,1,31.432400132275134,0.9,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,control,HUMAN_BACKGROUND_118550,HUMAN_BACKGROUND_118550|seed-125659505|sig-82dd781b0a455ed1,HUMAN_BACKGROUND_118550|seed-125659505|sig-82dd781b0a455ed1|model-2,6,3,2,33.56591798941799,0.9,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,control,HUMAN_BACKGROUND_118550,HUMAN_BACKGROUND_118550|seed-125659505|sig-82dd781b0a455ed1,HUMAN_BACKGROUND_118550|seed-125659505|sig-82dd781b0a455ed1|model-3,6,3,2,29.65520590828924,0.89,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,control,HUMAN_BACKGROUND_118550,HUMAN_BACKGROUND_118550|seed-125659505|sig-82dd781b0a455ed1,HUMAN_BACKGROUND_118550|seed-125659505|sig-82dd781b0a455ed1|model-4,7,1,1,28.736644400352734,0.89,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,control,HUMAN_BACKGROUND_118550,HUMAN_BACKGROUND_118550|seed-2101104724|sig-11d49bc2aa776d3b,HUMAN_BACKGROUND_118550|seed-2101104724|sig-11d49bc2aa776d3b|model-0,6,3,2,36.619194664903006,0.9,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,control,HUMAN_BACKGROUND_118550,HUMAN_BACKGROUND_118550|seed-2101104724|sig-11d49bc2aa776d3b,HUMAN_BACKGROUND_118550|seed-2101104724|sig-11d49bc2aa776d3b|model-1,1,23,7,35.19448192239859,0.9,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,control,HUMAN_BACKGROUND_118550,HUMAN_BACKGROUND_118550|seed-2101104724|sig-11d49bc2aa776d3b,HUMAN_BACKGROUND_118550|seed-2101104724|sig-11d49bc2aa776d3b|model-2,8,1,1,34.624955687830685,0.9,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,control,HUMAN_BACKGROUND_118550,HUMAN_BACKGROUND_118550|seed-2101104724|sig-11d49bc2aa776d3b,HUMAN_BACKGROUND_118550|seed-2101104724|sig-11d49bc2aa776d3b|model-3,9,2,2,31.300097442680777,0.89,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,control,HUMAN_BACKGROUND_118550,HUMAN_BACKGROUND_118550|seed-2101104724|sig-11d49bc2aa776d3b,HUMAN_BACKGROUND_118550|seed-2101104724|sig-11d49bc2aa776d3b|model-4,10,1,1,29.0334012345679,0.89,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,control,HUMAN_BACKGROUND_119732,HUMAN_BACKGROUND_119732|seed-1742505091|sig-fed23ffb45c64960,HUMAN_BACKGROUND_119732|seed-1742505091|sig-fed23ffb45c64960|model-0,11,1,1,33.87437571200729,0.9,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,control,HUMAN_BACKGROUND_119732,HUMAN_BACKGROUND_119732|seed-1742505091|sig-fed23ffb45c64960,HUMAN_BACKGROUND_119732|seed-1742505091|sig-fed23ffb45c64960|model-1,9,2,2,37.94597195640617,0.9,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,control,HUMAN_BACKGROUND_119732,HUMAN_BACKGROUND_119732|seed-1742505091|sig-fed23ffb45c64960,HUMAN_BACKGROUND_119732|seed-1742505091|sig-fed23ffb45c64960|model-2,12,1,1,33.02074379129641,0.9,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,control,HUMAN_BACKGROUND_119732,HUMAN_BACKGROUND_119732|seed-1742505091|sig-fed23ffb45c64960,HUMAN_BACKGROUND_119732|seed-1742505091|sig-fed23ffb45c64960|model-3,13,1,1,29.171130610617453,0.89,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,control,HUMAN_BACKGROUND_119732,HUMAN_BACKGROUND_119732|seed-1742505091|sig-fed23ffb45c64960,HUMAN_BACKGROUND_119732|seed-1742505091|sig-fed23ffb45c64960|model-4,1,23,7,29.621878237259814,0.89,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
2,EBV_TCELL_2268741::HUMAN_MYELIN_117032,length_sensitivity_exact_bin_pm7,ebv,EBV_TCELL_2268741,EBV_TCELL_2268741|seed-2|sig-0a11fc72d10c9096,EBV_TCELL_2268741|seed-2|sig-0a11fc72d10c9096|model-0,1,16,4,85.58359346011135,0.95,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
2,EBV_TCELL_2268741::HUMAN_MYELIN_117032,length_sensitivity_exact_bin_pm7,ebv,EBV_TCELL_2268741,EBV_TCELL_2268741|seed-2|sig-0a11fc72d10c9096,EBV_TCELL_2268741|seed-2|sig-0a11fc72d10c9096|model-1,1,16,4,82.4738713667285,0.95,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
2,EBV_TCELL_2268741::HUMAN_MYELIN_117032,length_sensitivity_exact_bin_pm7,ebv,EBV_TCELL_2268741,EBV_TCELL_2268741|seed-2|sig-0a11fc72d10c9096,EBV_TCELL_2268741|seed-2|sig-0a11fc72d10c9096|model-2,1,16,4,84.49365169552671,0.95,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
2,EBV_TCELL_2268741::HUMAN_MYELIN_117032,length_sensitivity_exact_bin_pm7,ebv,EBV_TCELL_2268741,EBV_TCELL_2268741|seed-2|sig-0a11fc72d10c9096,EBV_TCELL_2268741|seed-2|sig-0a11fc72d10c9096|model-3,1,16,4,84.4573591785199,0.94,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
2,EBV_TCELL_2268741::HUMAN_MYELIN_117032,length_sensitivity_exact_bin_pm7,ebv,EBV_TCELL_2268741,EBV_TCELL_2268741|seed-2|sig-0a11fc72d10c9096,EBV_TCELL_2268741|seed-2|sig-0a11fc72d10c9096|model-4,1,16,4,84.48055826118325,0.94,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
2,EBV_TCELL_2268741::HUMAN_MYELIN_117032,length_sensitivity_exact_bin_pm7,ebv,EBV_TCELL_2268741,EBV_TCELL_2268741|seed-2|sig-8c79222e30643990,EBV_TCELL_2268741|seed-2|sig-8c79222e30643990|model-0,1,16,4,85.58359346011135,0.95,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
2,EBV_TCELL_2268741::HUMAN_MYELIN_117032,length_sensitivity_exact_bin_pm7,ebv,EBV_TCELL_2268741,EBV_TCELL_2268741|seed-2|sig-8c79222e30643990,EBV_TCELL_2268741|seed-2|sig-8c79222e30643990|model-1,1,16,4,82.4738713667285,0.95,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
2,EBV_TCELL_2268741::HUMAN_MYELIN_117032,length_sensitivity_exact_bin_pm7,ebv,EBV_TCELL_2268741,EBV_TCELL_2268741|seed-2|sig-8c79222e30643990,EBV_TCELL_2268741|seed-2|sig-8c79222e30643990|model-2,1,16,4,84.49365169552671,0.95,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
2,EBV_TCELL_2268741::HUMAN_MYELIN_117032,length_sensitivity_exact_bin_pm7,ebv,EBV_TCELL_2268741,EBV_TCELL_2268741|seed-2|sig-8c79222e30643990,EBV_TCELL_2268741|seed-2|sig-8c79222e30643990|model-3,1,16,4,84.4573591785199,0.94,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
2,EBV_TCELL_2268741::HUMAN_MYELIN_117032,length_sensitivity_exact_bin_pm7,ebv,EBV_TCELL_2268741,EBV_TCELL_2268741|seed-2|sig-8c79222e30643990,EBV_TCELL_2268741|seed-2|sig-8c79222e30643990|model-4,1,16,4,84.48055826118325,0.94,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
2,EBV_TCELL_2268741::HUMAN_MYELIN_117032,length_sensitivity_exact_bin_pm7,target,HUMAN_MYELIN_117032,HUMAN_MYELIN_117032|seed-179807928|sig-e2e8bb38a67a3c46,HUMAN_MYELIN_117032|seed-179807928|sig-e2e8bb38a67a3c46|model-0,1,16,4,58.93486147186147,0.88,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
2,EBV_TCELL_2268741::HUMAN_MYELIN_117032,length_sensitivity_exact_bin_pm7,target,HUMAN_MYELIN_117032,HUMAN_MYELIN_117032|seed-179807928|sig-e2e8bb38a67a3c46,HUMAN_MYELIN_117032|seed-179807928|sig-e2e8bb38a67a3c46|model-1,1,16,4,59.775349533279226,0.88,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
2,EBV_TCELL_2268741::HUMAN_MYELIN_117032,length_sensitivity_exact_bin_pm7,target,HUMAN_MYELIN_117032,HUMAN_MYELIN_117032|seed-179807928|sig-e2e8bb38a67a3c46,HUMAN_MYELIN_117032|seed-179807928|sig-e2e8bb38a67a3c46|model-2,1,16,4,60.12244523358586,0.88,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
2,EBV_TCELL_2268741::HUMAN_MYELIN_117032,length_sensitivity_exact_bin_pm7,target,HUMAN_MYELIN_117032,HUMAN_MYELIN_117032|seed-179807928|sig-e2e8bb38a67a3c46,HUMAN_MYELIN_117032|seed-179807928|sig-e2e8bb38a67a3c46|model-3,1,16,4,58.40850471230159,0.89,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
2,EBV_TCELL_2268741::HUMAN_MYELIN_117032,length_sensitivity_exact_bin_pm7,target,HUMAN_MYELIN_117032,HUMAN_MYELIN_117032|seed-179807928|sig-e2e8bb38a67a3c46,HUMAN_MYELIN_117032|seed-179807928|sig-e2e8bb38a67a3c46|model-4,1,16,4,57.28018698142135,0.87,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
2,EBV_TCELL_2268741::HUMAN_MYELIN_117032,length_sensitivity_exact_bin_pm7,target,HUMAN_MYELIN_117032,HUMAN_MYELIN_117032|seed-27|sig-2f9a0e012ee11aa4,HUMAN_MYELIN_117032|seed-27|sig-2f9a0e012ee11aa4|model-0,13,2,1,40.549759424603174,0.85,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
